node_id,job_id,subjob_id,worker_count,subjob_throughput
222.214.219.199:7777,bd6c9540-117d-498c-8471-7e7e51979971,e8ee33a5-777f-48f9-b116-6d5b89800cfe,8.0,990936.8670181301
222.214.219.199:7777,bd6c9540-117d-498c-8471-7e7e51979971,f388d0bb-eb0e-4191-b23a-9dbfbd6b27b6,10.0,1208001.6186276881
203.160.91.76:11876,61828f8a-b2fc-4800-b817-544c6b0e8d55,f944efcd-8de9-454d-8891-5d5e049edec2,,
203.160.91.76:11876,61828f8a-b2fc-4800-b817-544c6b0e8d55,5facdd7d-043b-4778-bb3c-1e5dd742866e,1.0,12146137.03231785
203.160.91.76:11876,61828f8a-b2fc-4800-b817-544c6b0e8d55,b3df2c8e-7c7e-4920-ad02-fbc32d15a318,8.0,99811145.62506297
203.160.91.76:11876,61828f8a-b2fc-4800-b817-544c6b0e8d55,4ab1c67f-0fef-4f58-9b69-1bd4a602f8ed,10.0,114529276.56711254
162.219.87.220:18692,8a4238ad-6b9e-4959-8105-784c0659f6fe,3311556f-4d77-41e0-b830-24c42f391b0c,,
162.219.87.220:18692,8a4238ad-6b9e-4959-8105-784c0659f6fe,5d48b120-8b3e-484c-bee0-c80a8f58e5b0,1.0,12803125.885225886
162.219.87.220:18692,8a4238ad-6b9e-4959-8105-784c0659f6fe,303979f8-7f32-49cf-a6de-29e1e2576b86,8.0,98047942.32573202
162.219.87.220:18692,8a4238ad-6b9e-4959-8105-784c0659f6fe,9cfebe39-6b65-4e82-b09a-b027a777f2fc,10.0,124269965.53206117
103.1.65.126:18924,37333d94-3012-4bcc-9bfd-4d15873af31b,5753ea7d-9575-44a6-a0e6-4cb8a3b78d60,,
103.1.65.126:18924,37333d94-3012-4bcc-9bfd-4d15873af31b,d835600e-9215-4641-9ed0-50a9b11c926a,1.0,13016087.512413109
103.1.65.126:18924,37333d94-3012-4bcc-9bfd-4d15873af31b,2f031337-e8ab-4676-96f1-bea5d72c80c1,8.0,96670581.4892336
103.1.65.126:18924,37333d94-3012-4bcc-9bfd-4d15873af31b,5ac2a361-c4f0-4522-9892-76e64fa473cd,10.0,98350898.49164973
47.236.144.226:58420,a408fc36-b06f-4849-98f4-573b8181fd84,2d6ef7a6-0091-4c1e-b53e-477f4861d265,1.0,139338.67768870518
47.236.144.226:58420,a408fc36-b06f-4849-98f4-573b8181fd84,eb61b42c-9562-4944-9295-14430b0cb274,8.0,138955.02152081172
47.236.144.226:58420,a408fc36-b06f-4849-98f4-573b8181fd84,0ef08a46-d69c-4963-8617-fa7f0a8d4b2a,10.0,139157.03869276
157.148.101.187:58420,35413cb0-1c14-4041-8a48-2c07cb384735,ee9c3821-c510-47f6-82ce-94f94c1ebf7f,1.0,6338870.813686374
157.148.101.187:58420,35413cb0-1c14-4041-8a48-2c07cb384735,e1f60c6a-4b85-40f2-8ca4-eb6f01e2a5d7,8.0,24044526.858222976
157.148.101.187:58420,35413cb0-1c14-4041-8a48-2c07cb384735,5bc2adc2-457a-48a9-8463-34769d8d17c0,10.0,31599913.3219349
47.254.47.133:58421,55cde052-38a3-433b-a4e9-a4658a42b190,4a80aa64-dde0-4323-b9e8-7222328b2cbf,1.0,136983.51483664702
47.254.47.133:58421,55cde052-38a3-433b-a4e9-a4658a42b190,c8d60616-9848-4ca4-b81a-b9f78e9b6d17,8.0,139576.97600333745
47.254.47.133:58421,55cde052-38a3-433b-a4e9-a4658a42b190,3a28f1cc-a632-4240-ac85-7f87e4f0a157,10.0,142445.92960085618
157.148.101.187:58421,86873df7-323e-40b9-a8b5-f13e825c4437,1311eb85-8f3c-46a3-a503-5402de4215c0,1.0,7467958.193860836
157.148.101.187:58421,86873df7-323e-40b9-a8b5-f13e825c4437,205c37a1-b5f3-4cce-8a0a-7f4d30dc7996,8.0,22773725.30881778
157.148.101.187:58421,86873df7-323e-40b9-a8b5-f13e825c4437,40ac1472-e8b4-4741-a40a-ad038c79b216,10.0,31397273.05276925
103.1.65.125:42398,e6d3cdac-31bf-4908-a83d-9419882d3f98,ae373666-6f39-46fb-b038-932a3f72e3d0,1.0,12304341.82116874
103.1.65.125:42398,e6d3cdac-31bf-4908-a83d-9419882d3f98,36ecf46d-7042-4d2a-b4e5-b15756bb7cf1,8.0,99299174.53469782
103.1.65.125:42398,e6d3cdac-31bf-4908-a83d-9419882d3f98,9f554205-d98a-4ee2-9874-2991cd94d3be,10.0,107528707.17299297
203.160.91.78:7812,eaae21ad-1c17-445e-8662-d29aa242b085,1b3e40a1-e354-41c1-8bc1-06ffb0480b89,,
203.160.91.78:7812,eaae21ad-1c17-445e-8662-d29aa242b085,dc3bcae5-b074-445f-8951-32aff7aaa0bb,1.0,9972192.201616738
203.160.91.78:7812,eaae21ad-1c17-445e-8662-d29aa242b085,ad55438a-6f3e-44c8-b9fe-64cb5d8a7338,8.0,80076135.97190677
203.160.91.78:7812,eaae21ad-1c17-445e-8662-d29aa242b085,9dbe34ea-f164-4238-a664-8cce5a403a69,10.0,99108001.31741375
47.254.47.133:58420,29010eff-b6a0-4de7-953e-8953601cfda2,88975411-3d29-4da0-a8af-537eed179e23,1.0,57102.43837574589
47.254.47.133:58420,29010eff-b6a0-4de7-953e-8953601cfda2,51e5ebcf-f008-4319-ad32-ef48797f015c,8.0,104734.67927582198
47.254.47.133:58420,29010eff-b6a0-4de7-953e-8953601cfda2,38d29936-d9d1-4f8a-a321-87e6026797d9,10.0,138942.81122332677
222.214.219.199:7777,041b3bbb-48e7-4ee1-8254-2218698ea01e,f8f3ceb0-cbc0-4a7c-983b-8d5bb0cb7c0a,1.0,230996.2676619568
222.214.219.199:7777,041b3bbb-48e7-4ee1-8254-2218698ea01e,0c83fb84-1ada-4629-a142-6e5a648e5df8,8.0,1369530.5642228671
222.214.219.199:7777,041b3bbb-48e7-4ee1-8254-2218698ea01e,1a50dc56-eb14-4af2-a734-92eacf473633,10.0,1567588.466754978
162.219.87.217:34985,4e39288f-028a-4649-8ddc-2846acceb89e,e216f77d-30ea-4b6b-b74b-9267476d7f2f,,
162.219.87.217:34985,4e39288f-028a-4649-8ddc-2846acceb89e,83fad3b0-81b4-4548-80f1-cde88ce8c944,1.0,13256333.881163085
162.219.87.217:34985,4e39288f-028a-4649-8ddc-2846acceb89e,ac5da2a6-ac1b-4f45-bd82-00bfb001d84a,8.0,98929674.8210529
162.219.87.217:34985,4e39288f-028a-4649-8ddc-2846acceb89e,0d7afd25-323b-4832-8626-df72dc3f9b3f,10.0,117725190.31768513
ahnawee8-xupio2pi-production.s3.us-east-1.amazonaws.com,b1ea0b1e-9395-4a5f-b309-a82bb841d6e6,eff5aae3-76e5-422a-810b-7c31da5fd7ce,1.0,70516207.80094148
ahnawee8-xupio2pi-production.s3.us-east-1.amazonaws.com,b1ea0b1e-9395-4a5f-b309-a82bb841d6e6,33799a78-2fee-41dd-9f31-9f93bf6f4f2a,40.0,4029503204.0182533
ahnawee8-xupio2pi-production.s3.us-east-1.amazonaws.com,b1ea0b1e-9395-4a5f-b309-a82bb841d6e6,ca211a76-9a8a-437d-9045-15c26eca0543,50.0,5038150160.894301
