node_id,unique_job_count
222.214.219.199:7777,20
203.160.91.76:11876,13
157.148.101.187:58420,12
ahnawee8-xupio2pi-production.s3.us-east-1.amazonaws.com,11
207.189.117.196:26195,10
125.67.244.19:7777,9
47.254.47.133:58420,9
47.236.144.226:58420,7
103.1.65.125:42398,6
cesginc.com,6
47.254.47.133:58421,6
103.1.65.126:18924,6
222.74.153.82:7777,6
203.160.91.78:7812,6
162.219.87.217:34985,6
157.148.101.187:58421,6
122.114.2.214:7777,6
47.236.144.226:58421,4
188.227.57.12:37777,3
43.229.79.68:7777,3
162.219.87.220:18692,3
8.211.145.187:58420,3
8.211.145.187:58421,3
93.183.72.2:17197,3
120.236.8.226:6940,3
yablufc.ddns.net:7878,3
54.158.66.216:7777,2
54.209.183.46:7777,1
f010479.twinquasar.io,1
