ASN,Org,IX,Prefixes v4,Prefixes v6,RPKI Valid v4,RPKI Valid v6,RPKI Invalid v4,RPKI Invalid v6,Peers v4,Peers v6,IPs v4,AS Paths v4,AS Paths v6,AS Path Len v4,AS Path Len v6
AS45102,Alibaba,39.0,775,89,751,79,0,1,351,16,4132608,14524,5961,4.411,4.184
AS4134,CHINANET-BACKBONE,17.0,735,628,50,19,0,0,325,231,110725888,7255,4251,4.667,4.33
AS10099,China Unicom Global,7.0,100,4,16,0,0,0,528,80,36096,9721,4078,4.547,4.317
AS16509,Amazon.com (webservices),166.0,13920,5118,13833,5109,6,1,578,459,169280256,6863,6331,4.169,4.251
AS14618,Amazon.com (retail),,1072,353,1044,350,0,0,22,17,18257664,1271,872,4.518,4.413
AS7018,"AT&T Enterprises, LLC",,1962,73,1324,50,0,1,2329,251,93738752,115790,44198,4.088,4.115
AS34177,CELESTE SAS,5.0,65,4,56,4,0,0,1345,435,211968,120662,46159,4.303,4.255
AS56309,Siamdata Communication Co,,44,1,38,0,0,0,6,4,22016,2101,716,4.637,4.7
AS208951,ITGLOBAL.COM,,47,1,26,0,0,0,8,2,12032,1842,489,3.913,3.691
AS13649,Flexential Colorado Corp,1.0,598,28,10,0,0,0,186,20,598272,2345,1227,3.86,4.114
AS56040,China Mobile communications corporation,,515,163,7,11,0,0,26,14,2131968,2706,1483,5.917,5.401
