job_id,ip,location,as_name
7c626bba-3cbc-4664-a2e6-bfb7834978b5,129.236.226.20,United States,Columbia University
fe5f3e98-238a-4288-b48f-eae5cd4f3584,222.74.153.82,China,CHINANET-BACKBONE
89a08ee5-4ac5-4521-8d6e-791d3c771a03,103.1.65.125,Hong Kong,China Unicom Global
15f41be7-26a0-4351-90e2-14ec21bc693f,43.229.79.68,Thailand,"Siamdata Communication Co.,Ltd."
6fdc8043-0101-450a-9733-5a5c54de69e0,120.236.8.226,China,China Mobile communications corporation
7d87222d-f472-416b-860e-a918d9367818,203.160.91.76,Hong Kong,China Unicom Global
cda01835-c064-4d98-bec2-aa681a1b33be,222.214.219.199,China,CHINANET-BACKBONE
f84dd79d-0bfb-4c3b-9d43-a8a7dce26fa7,120.236.8.226,China,China Mobile communications corporation
c854ca33-b6dd-4e56-bb20-385e8f712b25,207.189.117.196,United States,Flexential Colorado Corp.
57de4cfe-ff4e-4aa8-8e78-a270a99c2cbd,47.236.144.226,Singapore,"Alibaba (US) Technology Co., Ltd."
0c66d895-471b-4059-a1ff-9a7926ed099e,207.189.117.196,United States,Flexential Colorado Corp.
b32db341-8233-426e-a82a-eb5c6f358ebf,207.189.117.196,United States,Flexential Colorado Corp.
37f79e12-592e-4bdd-818b-1b68bb73280f,188.227.57.12,United States,ITGLOBAL.COM NL B.V.
94926e15-2b50-427a-b2ba-207b88bc8787,188.227.57.12,United States,ITGLOBAL.COM NL B.V.
db252037-a59c-43f1-adb5-538f5e24fbfd,188.227.57.12,United States,ITGLOBAL.COM NL B.V.
414d998b-a49d-4e65-b6f9-dc9379b1d288,207.189.117.196,United States,Flexential Colorado Corp.
e628ffc4-d29d-4dcd-8270-4617109ac914,47.236.144.226,Singapore,"Alibaba (US) Technology Co., Ltd."
dc4872b5-7c9d-40f5-8511-b55c6f98475e,207.189.117.196,United States,Flexential Colorado Corp.
69acafca-47c2-4e59-a191-d8528d4f1e2d,222.214.219.199,China,CHINANET-BACKBONE
dc100bbf-b6bc-436d-90a4-8d0921e97afb,207.189.117.196,United States,Flexential Colorado Corp.
6d99272a-566b-4aac-87a6-80f1152e79f4,47.254.47.133,United States,"Alibaba (US) Technology Co., Ltd."
6cdcf5d0-a6db-4be1-b758-5789b32b4237,207.189.117.196,United States,Flexential Colorado Corp.
64ef3cc4-215c-43cb-b89a-b87dfd78a047,207.189.117.196,United States,Flexential Colorado Corp.
b6e26c12-eebf-413d-b190-f8d1e5402c13,207.189.117.196,United States,Flexential Colorado Corp.
5b7c9c8d-6819-4b49-a091-b10155a10ed8,207.189.117.196,United States,Flexential Colorado Corp.
ad3b74ec-c767-4b8c-94d6-f07cf3742c43,43.229.79.68,Thailand,"Siamdata Communication Co.,Ltd."
c2c2157c-a1fc-467a-a06a-d823ced51648,222.214.219.199,China,CHINANET-BACKBONE
b1088d33-5118-4791-92d8-2764b1070355,47.236.144.226,Singapore,"Alibaba (US) Technology Co., Ltd."
c2c89732-9315-4011-83df-e7531f6a0c2e,8.211.145.187,Japan,"Alibaba (US) Technology Co., Ltd."
4d642642-b99a-4278-880c-164621d01abb,8.211.145.187,Japan,"Alibaba (US) Technology Co., Ltd."
00aefe85-2182-4102-a7b9-68a31c0ffe87,47.236.144.226,Singapore,"Alibaba (US) Technology Co., Ltd."
875f5273-bab0-467e-b1a1-0e03ef124b73,47.254.47.133,United States,"Alibaba (US) Technology Co., Ltd."
d244dc3a-186e-4af8-8970-1b83096e727c,47.236.144.226,Singapore,"Alibaba (US) Technology Co., Ltd."
8dbdf583-3975-4f29-8294-c6068b3f6278,157.148.101.187,China,China Unicom Guangdong IP network
7c24c227-9f95-47f4-a1f5-aed45d741c1d,8.211.145.187,Japan,"Alibaba (US) Technology Co., Ltd."
1b04431c-1f53-4eea-95bc-3d7c84cde6b0,47.236.144.226,Singapore,"Alibaba (US) Technology Co., Ltd."
db415af2-770a-40ce-a7ad-b319626cd356,222.214.219.199,China,CHINANET-BACKBONE
eab0091f-88ff-4c06-bce0-88ca2ce3d248,103.1.65.125,Hong Kong,China Unicom Global
4c5bda2e-cf5b-4beb-8735-a712d13badaa,157.148.101.187,China,China Unicom Guangdong IP network
75ab2357-a408-40d4-b6ae-8b15df90c15f,157.148.101.187,China,China Unicom Guangdong IP network
aa710fdc-3432-4be0-a4d6-ffce3511c2ec,47.236.144.226,Singapore,"Alibaba (US) Technology Co., Ltd."
764df5aa-ae55-46db-b185-6d43be3bd179,203.160.91.78,Hong Kong,China Unicom Global
1f74596c-ef4b-4469-b225-391947f17174,157.148.101.187,China,China Unicom Guangdong IP network
194b6fe7-6294-4564-91f8-63db94c08a87,47.254.47.133,United States,"Alibaba (US) Technology Co., Ltd."
bd7c0ffe-0168-40d2-b8c2-fc5bb47063b6,93.183.72.2,Russia,ITGLOBALCOM RUS LLC
d9ec93b7-a37b-4a66-89e1-b9e215e7c25d,203.160.91.78,Hong Kong,China Unicom Global
27c30a3a-e893-4d49-a059-691a9c68d28a,203.160.91.78,Hong Kong,China Unicom Global
1555dffd-62cd-4024-bed5-42a0b2a4e0f7,103.1.65.125,Hong Kong,China Unicom Global
7bccb4b6-7fde-4a1b-9a76-9aed14277e42,43.229.79.68,Thailand,"Siamdata Communication Co.,Ltd."
0995ff58-e2f1-4758-856a-199a1130cc48,47.254.47.133,United States,"Alibaba (US) Technology Co., Ltd."
23971dd3-9346-452d-8fcc-8787633225a3,47.254.47.133,United States,"Alibaba (US) Technology Co., Ltd."
0b9b7cf0-c0ee-405a-8ed4-a11bba457525,47.254.47.133,United States,"Alibaba (US) Technology Co., Ltd."
62146498-6d8b-4c39-a08b-62ea1e2bc0ec,93.183.72.2,Russia,ITGLOBALCOM RUS LLC
50e3de30-efbe-4d79-8da6-13a09c1a83a7,103.1.65.126,Hong Kong,China Unicom Global
5173efe2-20d5-4131-a67e-8cfbd90a6eef,103.1.65.126,Hong Kong,China Unicom Global
bd910975-9ade-47d6-9e2f-edf9e2d49234,222.74.153.82,China,CHINANET-BACKBONE
a3eea625-18fb-42ab-b89a-fa90eb7428b1,8.211.145.187,Japan,"Alibaba (US) Technology Co., Ltd."
0083d0bb-74c9-44b4-aa37-76aa6421652c,93.183.72.2,Russia,ITGLOBALCOM RUS LLC
4092d50b-9e15-484d-89f1-56a49edc2eeb,162.219.87.217,Hong Kong,China Unicom Global
56bba3ef-1420-4874-9f21-c624d27a7066,162.219.87.217,Hong Kong,China Unicom Global
aafdc19e-7c35-4413-8c84-5e70a28b0c97,157.148.101.187,China,China Unicom Guangdong IP network
55b54989-740c-47a9-b33d-19afda9f8753,162.219.87.217,Hong Kong,China Unicom Global
fb40bef1-7318-4fb2-8aa3-6811377f3c64,125.67.244.19,China,CHINANET-BACKBONE
48347532-c2e1-4813-afd5-7776250a5328,8.211.145.187,Japan,"Alibaba (US) Technology Co., Ltd."
fbad35ff-750c-4227-bbfc-2563ae420faa,8.211.145.187,Japan,"Alibaba (US) Technology Co., Ltd."
06fa6c3f-bd69-4e21-aea5-3b30c758cdac,103.1.65.126,Hong Kong,China Unicom Global
30cdbbe8-ac43-4913-b34f-4d10b50f71e3,125.67.244.19,China,CHINANET-BACKBONE
e25cad75-6db5-4d61-8217-293312c01378,203.160.91.76,Hong Kong,China Unicom Global
3113c5d2-29b3-4968-8d59-79d7b4730cb3,222.214.219.199,China,CHINANET-BACKBONE
7eb3d672-9c08-4a15-97ec-49b5dbfc2946,203.160.91.76,Hong Kong,China Unicom Global
c1c718bc-1407-4678-8539-a16e9bcf46e1,222.74.153.82,China,CHINANET-BACKBONE
c2ff83c6-263f-4bbf-a8f3-af5164ad62af,122.114.2.214,China,CHINA UNICOM China169 Backbone
d91afa3b-be78-4f10-8de1-e385d0e28c21,122.114.2.214,China,CHINA UNICOM China169 Backbone
a46dc055-fcaf-4757-92e1-24b217c6e21f,122.114.2.214,China,CHINA UNICOM China169 Backbone
c7057de1-b64e-48ac-aafe-cc17cdd37556,125.67.244.19,China,CHINANET-BACKBONE
731ce9e9-cbd9-4ece-952c-de4b5897cb0f,125.67.244.19,China,CHINANET-BACKBONE
e9f94805-e0ba-430d-ab6d-eb022ce9e6d5,157.148.101.187,China,China Unicom Guangdong IP network
3ed65aec-5697-404b-b869-567804eec977,47.254.47.133,United States,"Alibaba (US) Technology Co., Ltd."
887bf991-5683-4bfb-8e38-09e2d344a333,157.148.101.187,China,China Unicom Guangdong IP network
20e7f2d4-d853-4ce4-816d-25a2a8a0a73b,52.217.202.58,United States,"Amazon.com, Inc."
e21fde0b-243c-42c1-81c3-32b49651dbdd,47.254.47.133,United States,"Alibaba (US) Technology Co., Ltd."
7ef16b49-a940-4b03-ba4b-d49f1bbaf599,52.217.202.58,United States,"Amazon.com, Inc."
75579f18-65d8-4c61-9a92-fe51ea6bd7c5,52.217.202.58,United States,"Amazon.com, Inc."
4625d744-d723-4fd3-914f-7f2847c566d1,54.158.66.216,United States,"Amazon.com, Inc."
023624df-e299-4cdd-8228-2c529182642d,54.209.183.46,United States,"Amazon.com, Inc."
3c8196f3-313b-4a84-94a1-c49684dc10fe,76.219.232.45,United States,"AT&T Enterprises, LLC"
f1743201-f2e6-422e-b94f-44561cc3aa37,76.219.232.45,United States,"AT&T Enterprises, LLC"
aef4f589-395e-4fed-b4a0-90e6ad20134a,212.106.124.229,France,CELESTE SAS
29ec95d8-cbee-4907-8444-3f12da6a7426,76.219.232.45,United States,"AT&T Enterprises, LLC"
0ed9699b-b898-458d-9e49-907e4c907d65,76.219.232.45,United States,"AT&T Enterprises, LLC"
8a3107e8-772e-41ac-8d90-550684e1c371,76.219.232.45,United States,"AT&T Enterprises, LLC"
02d466c5-ba4f-4bed-8651-7efbbed94d54,76.219.232.45,United States,"AT&T Enterprises, LLC"
35413cb0-1c14-4041-8a48-2c07cb384735,157.148.101.187,China,China Unicom Guangdong IP network
86873df7-323e-40b9-a8b5-f13e825c4437,157.148.101.187,China,China Unicom Guangdong IP network
40f92fe0-aa82-402f-8fce-9486841745aa,157.148.101.187,China,China Unicom Guangdong IP network
f6f76215-da14-4f20-872c-8a890bf9aaad,157.148.101.187,China,China Unicom Guangdong IP network
45211aa4-334d-4511-a2d5-64dd635af558,157.148.101.187,China,China Unicom Guangdong IP network
4ebc1977-6ca6-4ca8-9f75-ed2c0c39c5e4,125.67.244.19,China,CHINANET-BACKBONE
489bc355-c5fa-4b1a-9b68-9192073d4a73,125.67.244.19,China,CHINANET-BACKBONE
ec0779ba-08d3-4e1d-91df-237d310273c6,125.67.244.19,China,CHINANET-BACKBONE
852e3844-8682-4864-8743-eb6cae0cbf31,122.114.2.214,China,CHINA UNICOM China169 Backbone
c204528f-31a3-4f5c-a142-30632e18affc,122.114.2.214,China,CHINA UNICOM China169 Backbone
29794b4c-5d60-46aa-a491-2edfb1c23ead,122.114.2.214,China,CHINA UNICOM China169 Backbone
61e021aa-be64-478c-b629-2b765c056351,222.214.219.199,China,CHINANET-BACKBONE
5ab38e34-c1a6-478e-ae9b-b502608205e5,222.214.219.199,China,CHINANET-BACKBONE
e7cfd0e0-cb64-4cb6-be33-e736988fd089,222.214.219.199,China,CHINANET-BACKBONE
041b3bbb-48e7-4ee1-8254-2218698ea01e,222.214.219.199,China,CHINANET-BACKBONE
