id,total_bytes,elapsed_seconds
ee3127c1-4113-4da0-a57c-dc80b1f49d2e,102710996,60.026
451b4d52-d6bb-4a18-95d0-5ca00c60a2c6,50855636,60.021
b235412f-ba0b-4874-a638-e30c1c1abc3a,72531668,60.046
f4bf668e-24fc-46ef-816c-765d0453c408,95927589,7.688
e2b9f506-f892-4df4-8920-eaebd4e29936,11500837,1.681513
fe870dd3-4fa7-4553-8233-5055ddd2d242,9780517,3.16357
e8ee33a5-777f-48f9-b116-6d5b89800cfe,5966168,58.671996
f388d0bb-eb0e-4191-b23a-9dbfbd6b27b6,6170732,58.199803
5facdd7d-043b-4778-bb3c-1e5dd742866e,92308760,8.633
b3df2c8e-7c7e-4920-ad02-fbc32d15a318,86905256,7.947255
4ab1c67f-0fef-4f58-9b69-1bd4a602f8ed,51900014,7.984706
5d48b120-8b3e-484c-bee0-c80a8f58e5b0,98350408,8.19
303979f8-7f32-49cf-a6de-29e1e2576b86,91452208,8.851
9cfebe39-6b65-4e82-b09a-b027a777f2fc,87256272,8.016115
d835600e-9215-4641-9ed0-50a9b11c926a,103204840,8.056
2f031337-e8ab-4676-96f1-bea5d72c80c1,69698984,7.816847
5ac2a361-c4f0-4522-9892-76e64fa473cd,40793852,8.447668
2d6ef7a6-0091-4c1e-b53e-477f4861d265,8332948,60.001
eb61b42c-9562-4944-9295-14430b0cb274,748212,57.796509
0ef08a46-d69c-4963-8617-fa7f0a8d4b2a,851020,57.589095
ee9c3821-c510-47f6-82ce-94f94c1ebf7f,101220520,16.542
e1f60c6a-4b85-40f2-8ca4-eb6f01e2a5d7,18514926,25.571757
5bc2adc2-457a-48a9-8463-34769d8d17c0,12090150,21.028033
4a80aa64-dde0-4323-b9e8-7222328b2cbf,8120704,60.054
c8d60616-9848-4ca4-b81a-b9f78e9b6d17,963720,57.289121
3a28f1cc-a632-4240-ac85-7f87e4f0a157,681360,56.638341
1311eb85-8f3c-46a3-a503-5402de4215c0,96168848,14.041
205c37a1-b5f3-4cce-8a0a-7f4d30dc7996,52812254,27.118197
40ac1472-e8b4-4741-a40a-ad038c79b216,23975334,22.091745
ae373666-6f39-46fb-b038-932a3f72e3d0,92808008,8.522
36ecf46d-7042-4d2a-b4e5-b15756bb7cf1,87207336,8.143626
9f554205-d98a-4ee2-9874-2991cd94d3be,45987680,8.443409
dc3bcae5-b074-445f-8951-32aff7aaa0bb,97410048,10.515
ad55438a-6f3e-44c8-b9fe-64cb5d8a7338,97669960,10.712
9dbe34ea-f164-4238-a664-8cce5a403a69,95390544,10.82
88975411-3d29-4da0-a8af-537eed179e23,3402150,60.163
51e5ebcf-f008-4319-ad32-ef48797f015c,721902,58.020761
38d29936-d9d1-4f8a-a321-87e6026797d9,765590,57.834948
f8f3ceb0-cbc0-4a7c-983b-8d5bb0cb7c0a,13764348,60.016
0c83fb84-1ada-4629-a142-6e5a648e5df8,11495352,60.183
1a50dc56-eb14-4af2-a734-92eacf473633,8246852,59.038162
83fad3b0-81b4-4548-80f1-cde88ce8c944,90126120,7.91
ac5da2a6-ac1b-4f45-bd82-00bfb001d84a,93845296,8.803
0d7afd25-323b-4832-8626-df72dc3f9b3f,64413440,8.270435
eff5aae3-76e5-422a-810b-7c31da5fd7ce,95100863,1.487
33799a78-2fee-41dd-9f31-9f93bf6f4f2a,38841863,1.286
ca211a76-9a8a-437d-9045-15c26eca0543,7542943,1.002358
284b9774-a23b-4510-be2f-b392ccdd8818,45213841,1.397
4e460163-81d4-412f-9c8d-928cfb6b35e9,57755797,1.067
d0083a86-4808-4e19-98d9-af595eb158ba,46509101,1.23
aaa15a80-6164-44d5-ba33-a020cc097906,85741215,1.136
0c345b43-8769-4a48-8056-2b83ecb1cf7e,94893599,1.102
5df540e3-e1f2-49fc-82bd-7503e30a01ab,98871843,1.549
1425dadb-d6a0-4f2a-941f-31b93b5dacb9,39119815,1.288
1f679ce0-7f2c-4c81-b44d-ec7f765544ad,33161247,1.085
8c398ee3-e6a6-4921-8881-65c3659e452c,103839864,2.868
f96a94d3-dd44-4e64-9320-4e315aa02bc3,88484424,1.083
acf21916-af95-4ac5-ba6b-5f1fc7f0ed21,91499248,1.079
1eda0c49-cd51-42ba-ba24-29570a3ec9ab,77165467,2.171
2c5394ba-3720-4350-9c93-274598b4eb23,85803863,1.02
90b8db9b-5dc8-4bae-b163-8e7ba01f5401,68700871,1.156
f0dd2a35-f59a-4b78-898d-319a0e861445,34737864,1.148
628292d7-1aae-43c8-b61e-27b9e9a7bfbe,48467024,1.135
6316832d-ec55-4814-bed4-99e4bee45ade,35412432,1.423
557df711-10d1-4bcc-9301-28b870867e44,54685528,1.485
cb58c02e-02c0-4281-8a00-9ef32e4c084d,8851704,2.568436
29e8616c-ab31-4c49-89f2-b014f89dad61,104857601,55.461
b46069c7-14e9-476d-b7c5-eb9c9230ab21,54192630,0.983
a9495684-59bb-4e43-945c-e02a08178ae6,13110990,1.30941
c1cc35a1-060e-461c-81e4-0bfe6cd762ed,91524534,2.159
a34ce84d-e88f-4ec4-8d03-64979d06d8eb,104220824,1.01
706960d1-f9d0-4065-944e-8e2697adbb60,76660536,3.759
e77cf1ba-4e98-40e3-aa61-eddb8b065fc8,52393784,2.957394
93223dcb-31a3-4abc-bea5-e20d974658b4,42535798,3.281
6db2c12b-b0d3-4abe-a435-252840009d29,102270376,2.545
5627b82e-be74-464d-8dfe-4e52889593be,36720856,26.433545
32ac6926-9a00-42c6-a7ec-25e90c42d56c,60071392,1.409
fb5f5b04-6d75-4ccb-b40a-80142bde8a67,1625456,1.793599
6988371a-a726-410d-81ef-fd22528b3e2d,83093480,2.141
ddea949b-6ed9-478d-b55e-c0f42d037d5d,104272120,8.912
5ff8f49b-108a-4e37-b347-fb6131e34b9a,6840801,2.650359
b91b634a-fe96-42da-a539-6f1ba5fe66ea,52661960,8.033258
1a9e34d9-1e51-40c9-8bc6-d4cd635fb933,83211863,2.366
a284911b-2e5f-48be-82ba-7ba0b3e36ff9,85706447,1.04
68bc358f-de47-4166-bc82-fe7992c054cd,82610479,1.07
a8c391d3-767a-46d3-a6fc-7f5ab43749d4,98252512,17.005
