file_size_label,file_size_pos,num_workers,plateau_found,percent
10,0,1,0.038461538461538464,3.8461538461538463
10,0,8,0.05704697986577181,5.704697986577181
10,0,10,0.05771365149833518,5.771365149833518
100,2,1,0.20512820512820512,20.51282051282051
100,2,8,0.15056818181818182,15.056818181818182
100,2,10,0.09961127308066084,9.961127308066084
50,1,1,0.23529411764705882,23.52941176470588
50,1,8,0.13293051359516617,13.293051359516618
50,1,10,0.07692307692307693,7.6923076923076925
full,3,1,0.2,20.0
full,3,8,0.1501416430594901,15.01416430594901
full,3,10,0.1010199125789218,10.10199125789218
