subjob_id,job_id,status,type,details,deadline_at,worker_count
4e15199d-d8e6-4466-becd-028121fefab6,474e12cb-a3cf-4819-83f1-969dd26f4052,Canceled,Scaling,{'topic': 'hong_kong'},,0
8bf85872-f19c-4eaa-bf9b-efd97badbfb9,474e12cb-a3cf-4819-83f1-969dd26f4052,Canceled,CombinedDHP,{'partial': 80},,0
b8147dfa-3588-46f1-9226-a2e8a11e275c,474e12cb-a3cf-4819-83f1-969dd26f4052,Canceled,CombinedDHP,{},,0
f5526989-5fde-4a15-920d-07045096e4e6,d4cf7286-95f7-42cf-811c-aec161b699a5,Failed,Scaling,"{'error': 'Deadline passed', 'topic': 'singapore'}",2025-05-29T16:45:33.526069Z,0
33a01779-b8cd-4fad-8b2e-67c93cfabdcd,d4cf7286-95f7-42cf-811c-aec161b699a5,Failed,CombinedDHP,"{'error': 'No workers online', 'partial': 80}",,0
0669d764-2c85-45e5-97b7-a85424afa7c7,d4cf7286-95f7-42cf-811c-aec161b699a5,Failed,CombinedDHP,{'error': 'No workers online'},,0
e561967e-22cd-4ec4-808d-2bb437fef0df,bd6c9540-117d-498c-8471-7e7e51979971,Canceled,Scaling,{'topic': 'us_east'},,0
e8ee33a5-777f-48f9-b116-6d5b89800cfe,bd6c9540-117d-498c-8471-7e7e51979971,Completed,CombinedDHP,"{'partial': 80, 'workers_count': 8}",2025-05-29T14:54:29.075032Z,8
f388d0bb-eb0e-4191-b23a-9dbfbd6b27b6,bd6c9540-117d-498c-8471-7e7e51979971,Completed,CombinedDHP,{'workers_count': 10},2025-05-29T14:55:49.159767Z,10
d9ec4d4d-ff77-425d-8389-06b4c383cd36,254a20c3-c22f-4db6-a1cb-a811e26f4e07,Canceled,Scaling,{'topic': 'us_east'},2025-05-29T14:54:42.357700Z,0
b5414e12-dd5a-4ca1-bd15-e06e589380e4,254a20c3-c22f-4db6-a1cb-a811e26f4e07,Canceled,CombinedDHP,{'partial': 80},,0
d81b91e9-d1cf-42af-a22a-a986a9ffcc02,254a20c3-c22f-4db6-a1cb-a811e26f4e07,Canceled,CombinedDHP,{},,0
f944efcd-8de9-454d-8891-5d5e049edec2,61828f8a-b2fc-4800-b817-544c6b0e8d55,Completed,Scaling,{'topic': 'us_east'},2025-05-26T22:00:34.700426Z,0
5facdd7d-043b-4778-bb3c-1e5dd742866e,61828f8a-b2fc-4800-b817-544c6b0e8d55,Completed,CombinedDHP,"{'partial': 1, 'workers_count': 1}",2025-05-26T21:38:35.769471Z,1
b3df2c8e-7c7e-4920-ad02-fbc32d15a318,61828f8a-b2fc-4800-b817-544c6b0e8d55,Completed,CombinedDHP,"{'partial': 80, 'workers_count': 8}",2025-05-26T21:39:05.807366Z,8
4ab1c67f-0fef-4f58-9b69-1bd4a602f8ed,61828f8a-b2fc-4800-b817-544c6b0e8d55,Completed,CombinedDHP,{'workers_count': 10},2025-05-26T21:39:35.846212Z,10
89a9c65a-8f39-4110-ab9f-83b70e229009,148a35ae-6492-4ad3-af9b-663c30536279,Failed,Scaling,"{'error': 'Deadline passed', 'topic': 'hong_kong'}",2025-05-26T21:35:13.030382Z,0
1205d206-bf85-44b2-974a-004c520632cf,148a35ae-6492-4ad3-af9b-663c30536279,Failed,CombinedDHP,"{'error': 'No workers online', 'partial': 1}",,0
0dcb0f0a-1f77-40aa-9e3d-888d386bd9af,148a35ae-6492-4ad3-af9b-663c30536279,Failed,CombinedDHP,"{'error': 'No workers online', 'partial': 80}",,0
9914e6e4-7d14-4eee-919c-75f99bf6616e,148a35ae-6492-4ad3-af9b-663c30536279,Failed,CombinedDHP,{'error': 'No workers online'},,0
ebe7db46-73c9-43f4-a638-891cec27a2d8,8efbd3e5-b1b5-402e-be37-3d0d5c335ee5,Failed,Scaling,"{'error': 'Deadline passed', 'topic': 'hong_kong'}",2025-05-26T21:09:49.065797Z,0
