Node_Tier,as_name,count,sum,Sufficiency Rate (%)
Extra Extra Small,"Amazon.com, Inc.",1,0,0.0
Extra Extra Small,CHINA UNICOM China169 Backbone,4,0,0.0
Extra Extra Small,CHINANET-BACKBONE,17,0,0.0
Extra Extra Small,ITGLOBAL.COM NL B.V.,5,0,0.0
Extra Extra Small,ITGLOBALCOM RUS LLC,6,0,0.0
Extra Small,"Amazon.com, Inc.",5,3,60.0
Extra Small,British Telecommunications PLC,1,1,100.0
Extra Small,CHINA UNICOM China169 Backbone,4,3,75.0
Extra Small,CHINANET-BACKBONE,10,8,80.0
Extra Small,China Mobile communications corporation,2,0,0.0
Extra Small,China Unicom Global,10,0,0.0
Extra Small,China Unicom Guangdong IP network,1,1,100.0
Extra Small,Columbia University,2,1,50.0
Extra Small,Flexential Colorado Corp.,4,0,0.0
Extra Small,ITGLOBAL.COM NL B.V.,1,1,100.0
Extra Small,Will_Scott,2,2,100.0
High,"AT&T Enterprises, LLC",7,4,57.142857142857146
High,"Amazon.com, Inc.",1,0,0.0
High,China Unicom Global,38,7,18.42105263157895
High,Flexential Colorado Corp.,14,2,14.285714285714286
Low,CELESTE SAS,1,1,100.0
Low,CHINANET-BACKBONE,8,8,100.0
Low,China Mobile communications corporation,6,6,100.0
Medium,"AT&T Enterprises, LLC",5,3,60.0
Medium,British Telecommunications PLC,1,1,100.0
Medium,CHINA UNICOM China169 Backbone,4,4,100.0
Medium,CHINANET-BACKBONE,14,10,71.42857142857143
Medium,China Unicom Global,1,0,0.0
Medium,China Unicom Guangdong IP network,27,22,81.48148148148148
Medium,Flexential Colorado Corp.,2,0,0.0
Medium,"Siamdata Communication Co.,Ltd.",6,5,83.33333333333333
